id,meantempm,maxtempm,mintempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
374,34,41,27,34,36,36,9,8,7,1007.62,1006.26,1005.29,35,29,29,6,5,5,42,43,43,26,29,29,13,14,14,6,3,2,1010,1009,1008,1003,1001,999,0,0,0.2
375,35,42,28,34,34,36,9,9,8,1007.79,1007.62,1006.26,35,35,29,5,6,5,41,42,43,27,26,29,15,13,14,4,6,3,1011,1010,1009,1002,1003,1001,0,0,0
376,36,43,30,35,34,34,9,9,9,1006.45,1007.79,1007.62,35,35,35,5,5,6,42,41,42,28,27,26,17,15,13,4,4,6,1010,1011,1010,1002,1002,1003,0,0,0
377,36,42,31,36,35,34,6,9,9,1004.57,1006.45,1007.79,21,35,35,5,5,5,43,42,41,30,28,27,11,17,15,4,4,4,1007,1010,1011,999,1002,1002,0,0,0
378,34,40,28,36,36,35,8,6,9,1003.16,1004.57,1006.45,30,21,35,4,5,5,42,43,42,31,30,28,16,11,17,2,4,4,1006,1007,1010,997,999,1002,0,0,0
379,32,39,25,34,36,36,8,8,6,1002.55,1003.16,1004.57,27,30,21,6,4,5,40,42,43,28,31,30,14,16,11,5,2,4,1006,1006,1007,997,997,999,0,0,0
380,34,40,28,32,34,36,11,8,8,1004.09,1002.55,1003.16,42,27,30,10,6,4,39,40,42,25,28,31,14,14,16,8,5,2,1006,1006,1006,999,997,997,0,0,0
381,33,43,23,34,32,34,11,11,8,1004.62,1004.09,1002.55,35,42,27,11,10,6,40,39,40,28,25,28,14,14,14,8,8,5,1009,1006,1006,999,999,997,3,0,0
382,34,40,27,33,34,32,14,11,11,1005.81,1004.62,1004.09,61,35,42,4,11,10,43,40,39,23,28,25,19,14,14,2,8,8,1008,1009,1006,999,999,999,0,3,0
383,32,40,25,34,33,34,11,14,11,1004.28,1005.81,1004.62,40,61,35,9,4,11,40,43,40,27,23,28,15,19,14,9,2,8,1008,1008,1009,998,999,999,0,0,3
384,28,36,21,32,34,33,13,11,14,1003.9,1004.28,1005.81,65,40,61,14,9,4,40,40,43,25,27,23,19,15,19,8,9,2,1010,1008,1008,999,998,999,6,0,0
385,32,39,26,28,32,34,14,13,11,1006.55,1003.9,1004.28,73,65,40,16,14,9,36,40,40,21,25,27,18,19,15,10,8,9,1009,1010,1008,997,999,998,0,6,0
386,34,41,27,32,28,32,15,14,13,1006.43,1006.55,1003.9,48,73,65,15,16,14,39,36,40,26,21,25,19,18,19,6,10,8,1010,1009,1010,1002,997,999,0,0,6
387,34,42,25,34,32,28,15,15,14,1004.76,1006.43,1006.55,55,48,73,19,15,16,41,39,36,27,26,21,19,19,18,10,6,10,1007,1010,1009,1001,1002,997,0,0,0
388,36,44,29,34,34,32,14,15,15,1003.35,1004.76,1006.43,48,55,48,10,19,15,42,41,39,25,27,26,19,19,19,9,10,6,1006,1007,1010,998,1001,1002,0,0,0
389,38,45,32,36,34,34,13,14,15,1001.26,1003.35,1004.76,43,48,55,6,10,19,44,42,41,29,25,27,18,19,19,7,9,10,1005,1006,1007,995,998,1001,0,0,0
390,36,43,30,38,36,34,9,13,14,1000.17,1001.26,1003.35,32,43,48,4,6,10,45,44,42,32,29,25,17,18,19,0,7,9,1003,1005,1006,994,995,998,0,0,0
391,28,36,21,36,38,36,15,9,13,999.7,1000.17,1001.26,40,32,43,10,4,6,43,45,44,30,32,29,19,17,18,8,0,7,1003,1003,1005,994,994,995,0,0,0
392,31,39,23,28,36,38,19,15,9,1001.1,999.7,1000.17,94,40,32,17,10,4,36,43,45,21,30,32,24,19,17,9,8,0,1006,1003,1003,996,994,994,0,0,0
393,30,36,23,31,28,36,19,19,15,999.27,1001.1,999.7,74,94,40,18,17,10,39,36,43,23,21,30,23,24,19,15,9,8,1003,1006,1003,993,996,994,0,0,0
394,26,31,20,30,31,28,21,19,19,1000.95,999.27,1001.1,100,74,94,34,18,17,36,39,36,23,23,21,23,23,24,17,15,9,1005,1003,1006,996,993,996,23,0,0
395,31,39,23,26,30,31,20,21,19,1004.8,1000.95,999.27,83,100,74,44,34,18,31,36,39,20,23,23,23,23,23,18,17,15,1007,1005,1003,1000,996,993,0,23,0
396,36,43,28,31,26,30,21,20,21,1004.37,1004.8,1000.95,100,83,100,21,44,34,39,31,36,23,20,23,24,23,23,17,18,17,1007,1007,1005,1000,1000,996,0,0,23
397,36,43,30,36,31,26,15,21,20,1002.17,1004.37,1004.8,62,100,83,8,21,44,43,39,31,28,23,20,23,24,23,7,17,18,1005,1007,1007,996,1000,1000,0,0,0
398,37,42,32,36,36,31,16,15,21,1001.83,1002.17,1004.37,51,62,100,10,8,21,43,43,39,30,28,23,22,23,24,12,7,17,1005,1005,1007,997,996,1000,0,0,0
399,36,41,31,37,36,36,19,16,15,1001.97,1001.83,1002.17,49,51,62,15,10,8,42,43,43,32,30,28,23,22,23,9,12,7,1005,1005,1005,996,997,996,0,0,0
400,32,36,29,36,37,36,19,19,16,1003.7,1001.97,1001.83,52,49,51,18,15,10,41,42,43,31,32,30,24,23,22,17,9,12,1007,1005,1005,999,996,997,0,0,0
401,32,37,27,32,36,37,20,19,19,1005.48,1003.7,1001.97,66,52,49,31,18,15,36,41,42,29,31,32,25,24,23,18,17,9,1009,1007,1005,1000,999,996,0,0,0
402,30,37,22,32,32,36,18,20,19,1004.62,1005.48,1003.7,66,66,52,22,31,18,37,36,41,27,29,31,22,25,24,14,18,17,1007,1009,1007,1000,1000,999,0,0,0
403,32,39,25,30,32,32,20,18,20,1003.76,1004.62,1005.48,94,66,66,21,22,31,37,37,36,22,27,29,23,22,25,17,14,18,1007,1007,1009,998,1000,1000,0,0,0
404,30,38,23,32,30,32,17,20,18,1002.33,1003.76,1004.62,74,94,66,13,21,22,39,37,37,25,22,27,23,23,22,10,17,14,1005,1007,1007,997,998,1000,0,0,0
405,32,39,25,30,32,30,14,17,20,1001.94,1002.33,1003.76,65,74,94,9,13,21,38,39,37,23,25,22,19,23,23,8,10,17,1005,1005,1007,997,997,998,0,0,0
406,32,38,26,32,30,32,15,14,17,1001.6,1001.94,1002.33,61,65,74,13,9,13,39,38,39,25,23,25,19,19,23,9,8,10,1004,1005,1005,996,997,997,0,0,0
407,35,41,29,32,32,30,16,15,14,1001.05,1001.6,1001.94,48,61,65,18,13,9,38,39,38,26,25,23,21,19,19,10,9,8,1004,1004,1005,996,996,997,0,0,0
408,28,39,18,35,32,32,17,16,15,1003.14,1001.05,1001.6,88,48,61,12,18,13,41,38,39,29,26,25,22,21,19,12,10,9,1006,1004,1004,997,996,996,0,0,0
409,32,38,27,28,35,32,20,17,16,1003.52,1003.14,1001.05,83,88,48,30,12,18,39,41,38,18,29,26,22,22,21,13,12,10,1008,1006,1004,997,997,996,0,0,0
410,32,38,26,32,28,35,18,20,17,1001.91,1003.52,1003.14,55,83,88,23,30,12,38,39,41,27,18,29,20,22,22,17,13,12,1005,1008,1006,997,997,997,0,0,0
411,33,39,27,32,32,28,19,18,20,1002.38,1001.91,1003.52,58,55,83,18,23,30,38,38,39,26,27,18,22,20,22,15,17,13,1004,1005,1008,997,997,997,0,0,0
412,35,40,30,33,32,32,19,19,18,1001.49,1002.38,1001.91,59,58,55,23,18,23,39,38,38,27,26,27,22,22,20,17,15,17,1004,1004,1005,996,997,997,0,0,0
413,33,39,27,35,33,32,19,19,19,999.46,1001.49,1002.38,49,59,58,21,23,18,40,39,38,30,27,26,22,22,22,17,17,15,1002,1004,1004,994,996,997,0,0,0
414,30,36,24,33,35,33,19,19,19,999.92,999.46,1001.49,62,49,59,20,21,23,39,40,39,27,30,27,22,22,22,17,17,17,1003,1002,1004,995,994,996,0,0,0
415,27,33,21,30,33,35,18,19,19,1000.83,999.92,999.46,69,62,49,24,20,21,36,39,40,24,27,30,20,22,22,16,17,17,1003,1003,1002,997,995,994,0,0,0
416,30,36,25,27,30,33,19,18,19,1002.93,1000.83,999.92,92,69,62,32,24,20,33,36,39,21,24,27,22,20,22,16,16,17,1007,1003,1003,999,997,995,0,0,0
417,32,38,26,30,27,30,20,19,18,1002.88,1002.93,1000.83,74,92,69,30,32,24,36,33,36,25,21,24,22,22,20,18,16,16,1022,1007,1003,998,999,997,0,0,0
418,35,40,30,32,30,27,20,20,19,999.41,1002.88,1002.93,70,74,92,23,30,32,38,36,33,26,25,21,22,22,22,16,18,16,1002,1022,1007,995,998,999,0,0,0
419,34,40,29,35,32,30,21,20,20,998.64,999.41,1002.88,66,70,74,22,23,30,40,38,36,30,26,25,24,22,22,17,16,18,1001,1002,1022,994,995,998,0,0,0
420,33,39,27,34,35,32,22,21,20,999.8,998.64,999.41,79,66,70,30,22,23,40,40,38,29,30,26,29,24,22,19,17,16,1002,1001,1002,996,994,995,12,0,0
421,28,33,24,33,34,35,23,22,21,1000.41,999.8,998.64,84,79,66,27,30,22,39,40,40,27,29,30,25,29,24,20,19,17,1003,1002,1001,995,996,994,4,12,0
422,28,32,23,28,33,34,25,23,22,1000.93,1000.41,999.8,100,84,79,60,27,30,33,39,40,24,27,29,27,25,29,24,20,19,1003,1003,1002,997,995,996,12,4,12
423,30,35,25,28,28,33,25,25,23,1000.9,1000.93,1000.41,100,100,84,66,60,27,32,33,39,23,24,27,26,27,25,23,24,20,1003,1003,1003,998,997,995,4,12,4
424,30,34,25,30,28,28,25,25,25,998.37,1000.9,1000.93,100,100,100,38,66,60,35,32,33,25,23,24,27,26,27,22,23,24,1001,1003,1003,994,998,997,0,4,12
425,30,34,25,30,30,28,25,25,25,997.67,998.37,1000.9,89,100,100,53,38,66,34,35,32,25,25,23,27,27,26,24,22,23,1000,1001,1003,994,994,998,0,0,4
426,30,35,26,30,30,30,25,25,25,998.48,997.67,998.37,89,89,100,44,53,38,34,34,35,25,25,25,26,27,27,23,24,22,1001,1000,1001,995,994,994,0,0,0
427,30,35,26,30,30,30,25,25,25,999.85,998.48,997.67,89,89,89,40,44,53,35,34,34,26,25,25,27,26,27,20,23,24,1002,1001,1000,996,995,994,0,0,0
428,30,34,26,30,30,30,23,25,25,999.69,999.85,998.48,84,89,89,40,40,44,35,35,34,26,26,25,25,27,26,22,20,23,1002,1002,1001,995,996,995,0,0,0
429,31,36,26,30,30,30,21,23,25,1000.41,999.69,999.85,79,84,89,36,40,40,34,35,35,26,26,26,23,25,27,20,22,20,1003,1002,1002,997,995,996,0,0,0
430,31,36,26,31,30,30,21,21,23,1001.72,1000.41,999.69,74,79,84,31,36,40,36,34,35,26,26,26,23,23,25,19,20,22,1004,1003,1002,998,997,995,0,0,0
431,32,38,27,31,31,30,21,21,21,1003.32,1001.72,1000.41,70,74,79,29,31,36,36,36,34,26,26,26,23,23,23,19,19,20,1006,1004,1003,1000,998,997,0,0,0
432,33,38,28,32,31,31,20,21,21,1003.08,1003.32,1001.72,62,70,74,27,29,31,38,36,36,27,26,26,22,23,23,19,19,19,1006,1006,1004,999,1000,998,0,0,0
433,33,38,28,33,32,31,20,20,21,1001.79,1003.08,1003.32,52,62,70,26,27,29,38,38,36,28,27,26,21,22,23,19,19,19,1005,1006,1006,998,999,1000,0,0,0
434,32,36,27,33,33,32,19,20,20,1002.67,1001.79,1003.08,55,52,62,28,26,27,38,38,38,28,28,27,22,21,22,18,19,19,1005,1005,1006,999,998,999,0,0,0
435,30,33,26,32,33,33,20,19,20,1002.6,1002.67,1001.79,66,55,52,27,28,26,36,38,38,27,28,28,22,22,21,18,18,19,1005,1005,1005,998,999,998,0,0,0
436,30,35,25,30,32,33,23,20,19,1003.25,1002.6,1002.67,84,66,55,46,27,28,33,36,38,26,27,28,25,22,22,19,18,18,1011,1005,1005,1000,998,999,0,0,0
437,30,34,26,30,30,32,24,23,20,1001.75,1003.25,1002.6,89,84,66,41,46,27,35,33,36,25,26,27,25,25,22,22,19,18,1004,1011,1005,997,1000,998,0,0,0
438,32,37,27,30,30,30,23,24,23,1000.82,1001.75,1003.25,79,89,84,43,41,46,34,35,33,26,25,26,24,25,25,22,22,19,1003,1004,1011,997,997,1000,0,0,0
439,30,33,26,32,30,30,24,23,24,1000.77,1000.82,1001.75,95,79,89,33,43,41,37,34,35,27,26,25,28,24,25,21,22,22,1003,1003,1004,996,997,997,11,0,0
440,30,34,25,30,32,30,26,24,23,1001.27,1000.77,1000.82,94,95,79,59,33,43,33,37,34,26,27,26,27,28,24,23,21,22,1003,1003,1003,998,996,997,12,11,0
441,30,34,26,30,30,32,26,26,24,1001.44,1001.27,1000.77,94,94,95,59,59,33,34,33,37,25,26,27,27,27,28,25,23,21,1003,1003,1003,998,998,996,12,12,11
442,31,36,26,30,30,30,26,26,26,1001.63,1001.44,1001.27,94,94,94,56,59,59,34,34,33,26,25,26,27,27,27,23,25,23,1004,1003,1003,997,998,998,0,12,12
443,30,34,26,31,30,30,25,26,26,1000.7,1001.63,1001.44,93,94,94,47,56,59,36,34,34,26,26,25,27,27,27,23,23,25,1003,1004,1003,995,997,998,0.4,0,12
444,30,34,25,30,31,30,25,25,26,998.82,1000.7,1001.63,89,93,94,49,47,56,34,36,34,26,26,26,26,27,27,24,23,23,1001,1003,1004,994,995,997,0.8,0.4,0
445,28,32,24,30,30,31,25,25,25,999.08,998.82,1000.7,94,89,93,59,49,47,34,34,36,25,26,26,26,26,27,24,24,23,1001,1001,1003,996,994,995,14,0.8,0.4
446,26,29,24,28,30,30,26,25,25,998.45,999.08,998.82,100,94,89,74,59,49,32,34,34,24,25,26,28,26,26,24,24,24,1000,1001,1001,995,996,994,19,14,0.8
447,26,29,23,26,28,30,26,26,25,997.67,998.45,999.08,100,100,94,88,74,59,29,32,34,24,24,25,27,28,26,25,24,24,1000,1000,1001,995,995,996,47,19,14
448,24,28,21,26,26,28,25,26,26,997.63,997.67,998.45,100,100,100,74,88,74,29,29,32,23,24,24,27,27,28,24,25,24,999,1000,1000,994,995,995,3,47,19
449,28,33,24,24,26,26,24,25,26,998.16,997.63,997.67,100,100,100,69,74,88,28,29,29,21,23,24,25,27,27,23,24,25,1000,999,1000,996,994,995,0,3,47
450,28,31,26,28,24,26,24,24,25,1002.22,998.16,997.63,95,100,100,51,69,74,33,28,29,24,21,23,25,25,27,23,23,24,1004,1000,999,998,996,994,0,0,3
451,25,27,23,28,28,24,25,24,24,1002.08,1002.22,998.16,95,95,100,62,51,69,31,33,28,26,24,21,27,25,25,23,23,23,1004,1004,1000,998,998,996,10,0,0
452,26,28,23,25,28,28,26,25,24,1002.4,1002.08,1002.22,100,95,95,89,62,51,27,31,33,23,26,24,27,27,25,24,23,23,1005,1004,1004,1000,998,998,9,10,0
453,26,29,23,26,25,28,25,26,25,1004.2,1002.4,1002.08,100,100,95,89,89,62,28,27,31,23,23,26,27,27,27,24,24,23,1006,1005,1004,1002,1000,998,0.8,9,10
454,26,30,23,26,26,25,26,25,26,1004.22,1004.2,1002.4,100,100,100,82,89,89,29,28,27,23,23,23,26,27,27,25,24,24,1008,1006,1005,1001,1002,1000,0.5,0.8,9
455,27,31,23,26,26,26,25,26,25,1004.36,1004.22,1004.2,100,100,100,68,82,89,30,29,28,23,23,23,26,26,27,24,25,24,1006,1008,1006,1002,1001,1002,2,0.5,0.8
456,26,31,22,27,26,26,24,25,26,1004,1004.36,1004.22,100,100,100,62,68,82,31,30,29,23,23,23,25,26,26,23,24,25,1006,1006,1008,1000,1002,1001,0,2,0.5
457,28,32,23,26,27,26,23,24,25,1001.6,1004,1004.36,100,100,100,56,62,68,31,31,30,22,23,23,25,25,26,22,23,24,1004,1006,1006,998,1000,1002,0,0,2
458,28,33,23,28,26,27,23,23,24,1000.49,1001.6,1004,94,100,100,49,56,62,32,31,31,23,22,23,24,25,25,21,22,23,1003,1004,1006,998,998,1000,0,0,0
459,29,33,25,28,28,26,22,23,23,1001.91,1000.49,1001.6,89,94,100,44,49,56,33,32,31,23,23,22,24,24,25,21,21,22,1004,1003,1004,998,998,998,0,0,0
460,29,32,26,29,28,28,23,22,23,1003.15,1001.91,1000.49,79,89,94,46,44,49,33,33,32,25,23,23,25,24,24,22,21,21,1006,1004,1003,1000,998,998,0,0,0
461,28,31,24,29,29,28,24,23,22,1004.13,1003.15,1001.91,100,79,89,52,46,44,32,33,33,26,25,23,27,25,24,22,22,21,1006,1006,1004,1000,1000,998,3,0,0
462,28,31,24,28,29,29,26,24,23,1004.26,1004.13,1003.15,100,100,79,70,52,46,31,32,33,24,26,25,27,27,25,25,22,22,1006,1006,1006,1000,1000,1000,1,3,0
463,28,32,24,28,28,29,25,26,24,1003.51,1004.26,1004.13,100,100,100,71,70,52,31,31,32,24,24,26,26,27,27,24,25,22,1006,1006,1006,1001,1000,1000,4,1,3
464,28,33,23,28,28,28,25,25,26,1002.93,1003.51,1004.26,100,100,100,61,71,70,32,31,31,24,24,24,26,26,27,23,24,25,1005,1006,1006,1000,1001,1000,0,4,1
465,28,32,24,28,28,28,24,25,25,1002.76,1002.93,1003.51,100,100,100,53,61,71,33,32,31,23,24,24,26,26,26,22,23,24,1004,1005,1006,999,1000,1001,0,0,4
466,28,33,24,28,28,28,23,24,25,1002.75,1002.76,1002.93,89,100,100,53,53,61,32,33,32,24,23,24,24,26,26,22,22,23,1005,1004,1005,999,999,1000,0,0,0
467,28,32,23,28,28,28,23,23,24,1004.42,1002.75,1002.76,89,89,100,51,53,53,33,32,33,24,24,23,24,24,26,22,22,22,1007,1005,1004,1001,999,999,0,0,0
468,29,34,24,28,28,28,23,23,23,1007.07,1004.42,1002.75,100,89,89,52,51,53,32,33,32,23,24,24,25,24,24,21,22,22,1009,1007,1005,1000,1001,999,0,0,0
469,30,36,24,29,28,28,23,23,23,1005.86,1007.07,1004.42,83,100,89,46,52,51,34,32,33,24,23,24,24,25,24,21,21,22,1008,1009,1007,1002,1000,1001,0,0,0
470,30,36,24,30,29,28,23,23,23,1004.24,1005.86,1007.07,79,83,100,43,46,52,36,34,32,24,24,23,24,24,25,22,21,21,1007,1008,1009,1000,1002,1000,0,0,0
471,30,36,24,30,30,29,22,23,23,1002.89,1004.24,1005.86,78,79,83,37,43,46,36,36,34,24,24,24,24,24,24,21,22,21,1005,1007,1008,999,1000,1002,0,0,0
472,30,34,26,30,30,30,22,22,23,1002.94,1002.89,1004.24,74,78,79,40,37,43,36,36,36,24,24,24,24,24,24,20,21,22,1005,1005,1007,999,999,1000,1,0,0
473,30,35,25,30,30,30,24,22,22,1003.96,1002.94,1002.89,79,74,78,49,40,37,34,36,36,26,24,24,25,24,24,22,20,21,1006,1005,1005,1001,999,999,0,1,0
474,30,36,25,30,30,30,25,24,22,1003.76,1003.96,1002.94,94,79,74,41,49,40,35,34,36,25,26,24,26,25,24,22,22,20,1006,1006,1005,999,1001,999,0,0,1
475,30,35,25,30,30,30,24,25,24,1002.29,1003.76,1003.96,84,94,79,37,41,49,36,35,34,25,25,26,25,26,25,22,22,22,1005,1006,1006,998,999,1001,0,0,0
476,29,34,24,30,30,30,24,24,25,1002.72,1002.29,1003.76,84,84,94,43,37,41,35,36,35,25,25,25,25,25,26,23,22,22,1005,1005,1006,999,998,999,0,0,0
477,28,34,22,29,30,30,24,24,24,1005.06,1002.72,1002.29,100,84,84,53,43,37,34,35,36,24,25,25,26,25,25,23,23,22,1007,1005,1005,1002,999,998,49,0,0
478,26,29,23,28,29,30,25,24,24,1004.38,1005.06,1002.72,100,100,84,60,53,43,34,34,35,22,24,25,26,26,25,23,23,23,1007,1007,1005,1000,1002,999,0,49,0
479,28,32,23,26,28,29,24,25,24,1003.22,1004.38,1005.06,100,100,100,73,60,53,29,34,34,23,22,24,26,26,26,21,23,23,1006,1007,1007,999,1000,1002,23,0,49
480,30,33,26,28,26,28,24,24,25,1001.82,1003.22,1004.38,100,100,100,57,73,60,32,29,34,23,23,22,25,26,26,23,21,23,1004,1006,1007,999,999,1000,0,23,0
481,28,33,24,30,28,26,25,24,24,1001.64,1001.82,1003.22,100,100,100,49,57,73,33,32,29,26,23,23,26,25,26,23,23,21,1003,1004,1006,997,999,999,0,0,23
482,28,31,24,28,30,28,25,25,24,1001.98,1001.64,1001.82,100,100,100,54,49,57,33,33,32,24,26,23,26,26,25,24,23,23,1004,1003,1004,996,997,999,1,0,0
483,28,32,23,28,28,30,26,25,25,1001.47,1001.98,1001.64,100,100,100,66,54,49,31,33,33,24,24,26,27,26,26,24,24,23,1003,1004,1003,999,996,997,1,1,0
484,27,31,23,28,28,28,25,26,25,1002.58,1001.47,1001.98,100,100,100,64,66,54,32,31,33,23,24,24,26,27,26,24,24,24,1005,1003,1004,999,999,996,0.5,1,1
485,26,31,22,27,28,28,25,25,26,1004.9,1002.58,1001.47,100,100,100,61,64,66,31,32,31,23,23,24,27,26,27,23,24,24,1007,1005,1003,1000,999,999,20,0.5,1
486,28,32,24,26,27,28,23,25,25,1005.98,1004.9,1002.58,100,100,100,56,61,64,31,31,32,22,23,23,25,27,26,21,23,24,1008,1007,1005,1003,1000,999,0,20,0.5
487,26,32,21,28,26,27,23,23,25,1006.16,1005.98,1004.9,100,100,100,50,56,61,32,31,31,24,22,23,25,25,27,22,21,23,1008,1008,1007,1003,1003,1000,1,0,20
488,28,34,23,26,28,26,24,23,23,1006.63,1006.16,1005.98,100,100,100,56,50,56,32,32,31,21,24,22,25,25,25,23,22,21,1008,1008,1008,1004,1003,1003,0,1,0
489,29,35,23,28,26,28,23,24,23,1008.15,1006.63,1006.16,95,100,100,43,56,50,34,32,32,23,21,24,25,25,25,22,23,22,1011,1008,1008,1004,1004,1003,0,0,1
490,29,34,24,29,28,26,22,23,24,1007.9,1008.15,1006.63,83,95,100,40,43,56,35,34,32,23,23,21,23,25,25,21,22,23,1011,1011,1008,1004,1004,1004,0,0,0
491,30,34,25,29,29,28,22,22,23,1007.84,1007.9,1008.15,89,83,95,40,40,43,34,35,34,24,23,23,25,23,25,19,21,22,1010,1011,1011,1005,1004,1004,7,0,0
492,30,34,25,30,29,29,23,22,22,1008.19,1007.84,1007.9,94,89,83,39,40,40,34,34,35,25,24,23,25,25,23,21,19,21,1011,1010,1011,1005,1005,1004,0,7,0
493,30,36,24,30,30,29,22,23,22,1008.49,1008.19,1007.84,89,94,89,37,39,40,34,34,34,25,25,24,24,25,25,20,21,19,1011,1011,1010,1006,1005,1005,0,0,7
494,30,36,24,30,30,30,22,22,23,1006.81,1008.49,1008.19,89,89,94,31,37,39,36,34,34,24,25,25,25,24,25,18,20,21,1010,1011,1011,1002,1006,1005,0,0,0
495,32,36,27,30,30,30,21,22,22,1007.3,1006.81,1008.49,83,89,89,25,31,37,36,36,34,24,24,25,24,25,24,17,18,20,1010,1010,1011,1004,1002,1006,0,0,0
496,29,34,24,32,30,30,21,21,22,1008.85,1007.3,1006.81,70,83,89,30,25,31,36,36,36,27,24,24,24,24,25,19,17,18,1011,1010,1010,1005,1004,1002,0,0,0
497,29,35,23,29,32,30,23,21,21,1009.59,1008.85,1007.3,94,70,83,48,30,25,34,36,36,24,27,24,25,24,24,21,19,17,1012,1011,1010,1006,1005,1004,14,0,0
498,28,33,23,29,29,32,23,23,21,1009.11,1009.59,1008.85,100,94,70,32,48,30,35,34,36,23,24,27,25,25,24,20,21,19,1012,1012,1011,1005,1006,1005,14,14,0
499,30,35,24,28,29,29,23,23,23,1008.59,1009.11,1009.59,100,100,94,44,32,48,33,35,34,23,23,24,25,25,25,21,20,21,1011,1012,1012,1004,1005,1006,0,14,14
500,30,34,25,30,28,29,23,23,23,1007.36,1008.59,1009.11,94,100,100,31,44,32,35,33,35,24,23,23,25,25,25,19,21,20,1010,1011,1012,1003,1004,1005,0,0,14
501,30,35,24,30,30,28,20,23,23,1006.94,1007.36,1008.59,84,94,100,29,31,44,34,35,33,25,24,23,24,25,25,16,19,21,1009,1010,1011,1002,1003,1004,0,0,0
502,30,37,24,30,30,30,18,20,23,1006.69,1006.94,1007.36,78,84,94,22,29,31,35,34,35,24,25,24,22,24,25,13,16,19,1009,1009,1010,1002,1002,1003,0,0,0
503,29,37,21,30,30,30,15,18,20,1005.96,1006.69,1006.94,73,78,84,12,22,29,37,35,34,24,24,25,19,22,24,10,13,16,1009,1009,1009,1002,1002,1002,0,0,0
504,30,37,24,29,30,30,14,15,18,1005.27,1005.96,1006.69,65,73,78,9,12,22,37,37,35,21,24,24,19,19,22,8,10,13,1008,1009,1009,1000,1002,1002,0,0,0
505,30,35,25,30,29,30,15,14,15,1004.83,1005.27,1005.96,65,65,73,11,9,12,37,37,37,24,21,24,23,19,19,8,8,10,1009,1008,1009,1001,1000,1002,0,0,0
506,30,34,26,30,30,29,21,15,14,1003.91,1004.83,1005.27,66,65,65,31,11,9,35,37,37,25,24,21,25,23,19,11,8,8,1006,1009,1008,1000,1001,1000,0,0,0
507,30,36,24,30,30,30,22,21,15,1004.59,1003.91,1004.83,79,66,65,33,31,11,34,35,37,26,25,24,24,25,23,19,11,8,1006,1006,1009,1001,1000,1001,0,0,0
508,30,36,24,30,30,30,19,22,21,1006.91,1004.59,1003.91,78,79,66,18,33,31,36,34,35,24,26,25,22,24,25,13,19,11,1010,1006,1006,1003,1001,1000,0,0,0
509,31,36,26,30,30,30,19,19,22,1009.27,1006.91,1004.59,83,78,79,22,18,33,36,36,34,24,24,26,22,22,24,16,13,19,1012,1010,1006,1006,1003,1001,0,0,0
510,30,36,25,31,30,30,18,19,19,1008.07,1009.27,1006.91,66,83,78,23,22,18,36,36,36,26,24,24,21,22,22,15,16,13,1011,1012,1010,1004,1006,1003,0,0,0
511,32,37,26,30,31,30,17,18,19,1008.52,1008.07,1009.27,65,66,83,19,23,22,36,36,36,25,26,24,20,21,22,13,15,16,1011,1011,1012,1005,1004,1006,0,0,0
512,32,37,26,32,30,31,15,17,18,1009.03,1008.52,1008.07,66,65,66,13,19,23,37,36,36,26,25,26,26,20,21,9,13,15,1012,1011,1011,1005,1005,1004,0,0,0
513,30,37,24,32,32,30,10,15,17,1007.57,1009.03,1008.52,45,66,65,8,13,19,37,37,36,26,26,25,19,26,20,5,9,13,1011,1012,1011,1004,1005,1005,0,0,0
514,31,38,24,30,32,32,10,10,15,1007,1007.57,1009.03,37,45,66,11,8,13,37,37,37,24,26,26,21,19,26,7,5,9,1010,1011,1012,1003,1004,1005,0,0,0
515,30,37,23,31,30,32,11,10,10,1009.5,1007,1007.57,50,37,45,8,11,8,38,37,37,24,24,26,19,21,19,6,7,5,1012,1010,1011,1006,1003,1004,0,0,0
516,31,38,24,30,31,30,10,11,10,1008.87,1009.5,1007,50,50,37,10,8,11,37,38,37,23,24,24,14,19,21,6,6,7,1013,1012,1010,1005,1006,1003,0,0,0
517,32,37,27,31,30,31,10,10,11,1008.38,1008.87,1009.5,42,50,50,11,10,8,38,37,38,24,23,24,13,14,19,5,6,6,1011,1013,1012,1004,1005,1006,0,0,0
518,30,37,23,32,31,30,9,10,10,1009.66,1008.38,1008.87,33,42,50,9,11,10,37,38,37,27,24,23,12,13,14,4,5,6,1018,1011,1013,1005,1004,1005,0,0,0
519,29,36,22,30,32,31,11,9,10,1010.71,1009.66,1008.38,53,33,42,9,9,11,37,37,38,23,27,24,16,12,13,5,4,5,1013,1018,1011,1006,1005,1004,0,0,0
520,30,36,25,29,30,32,12,11,9,1010.68,1010.71,1009.66,53,53,33,12,9,9,36,37,37,22,23,27,17,16,12,10,5,4,1013,1013,1018,1006,1006,1005,0,0,0
